World Crude Oil Reserves (billion),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.19813,0.19813,0.19914,0.19914,0.19914,0.19914,0.19914,0.1724,0.168332,0.168332,0.168332,0.168332,0.168332,0.168332,0.15,0.15
Algeria,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,11.314,11.8,11.35,12.27,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,5.412212,5.412212,5.412212,5.412,5.412,5.412,5.412,5.412,5.412,5.412,5.412,5.412,8,9.035,9.04,9.5,9.5,9.5,10.47,9.06,9.011,8.423,8.273,9.523,8.384,8.16,7.783
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2.216787,2.225895,2.386366,2.5882,2.621178,2.753416,3.071195,2.9737,2.87868,2.8205,2.6745,2.32045,2.468,2.58675,2.616,2.5203,2.50468,2.50468,2.805244,2.82,2.354204,2.379702,2.184554,2.162207,2.016761,2.388841,2.482704
Armenia,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1.61472,1.56009,1.80018,1.80018,2.895,2.895,2.895,3.5,3.5,3.5,1.491,1.437,1.59179,1.5,1.5,3.318,3.318,1.42566,1.43325,1.43325,1.193,1.193,1.821,2.446,2.446,2.446,2.446
Austria,0.1008,0.1008,0.076486,0.09,0.08712,0.08568,0.08568,0.08568,0.08568,0.062,0.062,0.062,0.05,0.05,0.05,0.05,0.05,0.05,0.0467,0.0485,0.0475,0.0454,0.043,0.0412,0.038,0.037,0.0352
Azerbaijan,NA,NA,1.178,1.178,1.178,1.178,1.178,1.178,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Bahrain,0.21,0.21,0.21,0.21,0.16,0.14811,0.14811,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.108,0.0946,0.1865
Bangladesh,0.004,0.005439,0.005439,0.005439,0.056902,0.056902,0.056902,0.056902,0.0569,0.056,0.056,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
Barbados,0.002784,0.002541,0.002411,0.002353,0.002353,0.003156,0.002508,0.002508,0.0025,0.002509,0.002509,0.0025,0.002852,0.0022,0.002171,0.001789,0.001789,0.002259,0.002259,0.00284,0.002526,0.002315,0.002082,0.002534,0.002356,0.002123,0.001978
Belarus,NA,NA,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
Benin,0.027,0.0289,0.0289,0.00821,0.00821,0.00821,0.00821,0.00821,0.00821,0.00821,0.00821,0.00821,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.138874,0.138874,0.131931,0.131931,0.131931,0.131931,0.3965,0.4405,0.4405,0.4405,0.4405,0.4405,0.44,0.465,0.465,0.465,0.465,0.2098,0.2098,0.2098,0.21145,0.21145,0.21145,0.21145,0.21145,0.2409,0.2409
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,3.797,4.2,4.8,4.8,7.106196,7.357476,8.1,8.464744,8.3217,8.5,10.6,11.2433,11.77264,12.18162,12.6239,12.8015,12.857,13.98671,13.1542,15.0499,15.5444,16.1841,12.9998,12.6337,12.83506,13.4353,12.7146
